main_headline,snippet,article_number
Iron Supplements Fight Fatigue in Women,"In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",1
Low-Fat Diet May Ease Hot Flashes,"A study suggests that weight loss with a low-fat, high fruit and vegetable diet may help reduce or eliminate hot flashes and night sweats associated with menopause.",2
Medical Costs May Remain High After Weight-Loss Surgery,A new study suggests that older men who undergo bariatric surgery to lose weight may not see any reductions in medical costs in the years that follow.,3
The Unproven Claims of Fitness Products,"A review of 431 performance-enhancing claims for 104 sports devices, equipment, foods and drinks found not a single methodologically sound study that supported any of the claims.",4
Trans Fat Limits Show Benefits in New York,A study shows that the average amount of trans fat per purchase decreased over the two years before and after restrictions were put into place.,5
"The 10-Minute Workout, Times Three","A 10-minute brisk walk three times a day proved more effective than a single 30-minute workout at keeping blood pressure in a healthy range, researchers at Arizona State University report.",6
Fitness Isn't Seen to Prevent Sports Injury,"In a study, Canadian researchers found no correlation between overall fitness and the time until a first injury.",7
Overcoming a Heart Condition to Win Olympic Gold,One of the most compelling aspects of the swimmer Dana Vollmer's story is that she overcame not only athletic stumbles but also a potentially deadly heart condition.,8
Dieting vs. Exercise for Weight Loss,Two new studies look at the irksome question of why so many of us who work out remain so heavy.,9
Transplant Centers Struggle With Donors' Obesity,Add one more unexpected consequence of Americans' expanding waistlines: A growing number of potential organ donors are ineligible to donate because of their weight.,10
Love and Food in Beauty's Kitchen,"Throughout my childhood, my family life was ruled by my father's weight loss struggles. But everything was different in my grandmother's kitchen.",11
Binge Eating Among Men Steps Out of the Shadows,"Binge eating disorder, which affects about eight million Americans, is about as common in men as in women, but treatment has mainly focused on women.",12
Study Links Healthier Weight in Children With Strict Laws on School Snacks,"The study, conducted over three years in 40 states, is likely to stoke the debate over government efforts to reduce obesity rates.",13
Strategies for Hot-Weather Exercise,"A chilled collar or an icy drink can help keep an athlete cool in hot weather. Dousing the head with water may provide added benefits, a new study found.",14
How to Make Summer Your Training Partner,Athletes' performance actually may improve as a result of their struggles with soaring temperatures.,15
Weight-Loss Surgery May Prevent Diabetes,A new study shows that bariatric surgery not only produced sustained weight loss in obese men and women but substantially reduced their odds of developing Type 2 diabetes.,16
Finding Your Ideal Running Form,"Many experts say runners should be taught the best form, but new research suggests that runners often improve their form just by running more.",17
What's Your Workout? A Food Star's Fitness Plan,The Food Network chef Robert Irvine manages to combine a fast-paced culinary career with a passion for fitness.,18
The Benefits of Middle-Age Fitness,"Even if you haven't previously bothered with exercise, getting fit in middle age appears to reshape the landscape of aging.",19
How Testosterone May Alter the Brain After Exercise,New science on sex hormones and the brain sheds light on how jogging and other workouts may improve the ability to remember and think.,20
Exaggerating Your Race Results,"Why do athletes shave a few minutes off their times, or add a few pounds to the amount they can bench press?",21
Really?: Adding Milk to Tea Destroys its Antioxidants,Researchers have been surprised to find that adding milk may strip tea of some of its beneficial effects.,22
"In 'Obesity Paradox,' Thinner May Mean Sicker",A slow but steady accumulation of evidence is inspiring some experts to re-examine assumptions about the role of body fat in certain chronic diseases.,23
BPA Levels Tied to Obesity in Youths,"A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging.",24
Really?: Always Consume Carbs Before Surgery,"Having a drink containing carbohydrates up to two hours before surgery may aid recovery, but more research is needed.",25
How Exercise Can Help You Master New Skills,"Physical exercise may help the brain to consolidate and store muscle memories, a new study found.",26
Obese Children Less Sensitive to Taste,"A connection is not clear, but German researchers suggested that the hormone leptin might affect both body weight and taste buds.",27
Do Exercise Programs Help Children Stay Fit?,"Exercise programs during or after school did little to make young people more active, a new study found. So how can we get children to move more?",28
E-Health Opportunities for Seniors,Connecting more older Americans to the Internet is expected to improve opportunities to protect their well-being and reduce national costs for care.,29
"Cholesterol Is Falling in Adults, Study Finds","Changes in the amount of trans fats in the American diet may be forcing down cholesterol levels in adults, new research suggests.",30
Get Up. Get Out. Don't Sit.,Two new studies make a convincing case that sitting too much will shorten your life.,31
Children Like Spicy Red Cheetos; Schools Don't,Some schools are trying to ban a chip that is high in salt and fat and leaves a trail of bright red fingerprints.,32
Diabetes Study Ends Early With a Surprising Result,Diet and weight loss did not prevent heart attacks and strokes in overweight and obese people with Type 2 diabetes.,33
Curbing the Enthusiasm on Daily Multivitamins,Experts are concerned about letting optimism about the potential benefits of nutritional supplements get ahead of the scientific evidence.,34
"In Fight Against Obesity, Drink Sizes Matter",History has shown that teaching people what is good for them is not enough. It must be accompanied by restrictions that curb unhealthy habits.,35
Study Questions Benefit of Extra Vitamin D,"The supplements have no effect on the most common blood markers for cardiovascular risk and death, a randomized trial indicates.",36
How to Carbo-Load for a Marathon,"There is one element that can still be tweaked in the days before a marathon, two new studies show: what to eat.",37
"For Omega-3s, Fish May Beat Pills","Taking supplements of omega-3 fatty acids does not have the same effect of reducing the risk of stroke as eating fish high in omega-3s, a study shows.",38
Doubt on Soy and Fiber as Menopause Aid,Researchers concluded that adding soy and fiber to the diet probably does not help prevent hot flashes and night sweats.,39
Updating the Message to Get Americans Moving,"If Americans know exercise is so good for them, why don't they take the message to heart? Maybe, some researchers say, the problem is the message.",40
Low Vitamin D Level Tied to Type 1 Diabetes,Researchers found that subjects with low blood levels of vitamin D were more likely to develop diabetes than those with higher levels.,41
"For Athletes, Risks From Ibuprofen Use",Many athletes take pre-emptive ibuprofen in hopes of preventing pain and soreness from exercise. New research shows the practice likely does more harm than good.,42
Obesity in Young Is Seen as Falling in Several Cities,Small but significant declines in childhood obesity offer the first indication that one of the nationÕs most intractable health problems may be reversing course.,43
Recipe for Resentment: Claims of Running Prowess,"Why does running arouse such passion? You don't hear gleeful chortling about the health hazards to master swimmers or cross-country skiers or cyclists who do 100-mile ""century"" rides.",44
Risks: Coffee Linked to Fewer Oral Cancer Deaths,"A large study of 968,432 initially healthy men and women has found that drinking coffee is associated with a reduced risk of death from oral cancers.",45
Live as Long as an Olympian,"Olympic athletes live longer, on average, than most of us. But certain sports, two new studies suggest, may be better than others when it comes to extending lifespan.",46
B.M.I. Can Predict Health Risks,"For certain health problems, body mass index, derived from the ratio of height to weight, is the best overall predictor, a new study says.",47
How Much Milk Should Children Drink?,"Researchers have established that for most children, drinking two cups a day achieves the right balance for vitamin D and iron.",48
Study Finds Modest Declines in Obesity Rates Among Young Children From Poor Families,"The share of 2-to-4-year-olds who were obese declined to 14.9 percent in 2010, down from 15.2 percent in 2003.",49
Really? Dieting Is a Short-lived New Year's Resolution,"A study of Google searches on diet-related keywords indicates that people are more likely to consider dieting in December and January, but interest drops off sharply thereafter.",50
What You Think You Know (but Don't) About Wise Eating,"Joe Schwarcz, a scientist at McGill University, sets the record straight on a host of widely circulated nutritional falsehoods.",51
"Good and Bad, the Little Things Add Up in Fitness","Perhaps the most dominant exercise-science theme of 2012 was that little things add up, with both positive and pernicious effects.",52
Really? Sugar-Free Gum Helps Prevent Cavities,"Sugar-free gum may reduce cavities, but the effect may have to do with the increased salivary flow caused by chewing the product, not its additives.",53
Do the Brain Benefits of Exercise Last?,"Exercise bolsters the structure and function of the brain. But if someone stops exercising, does the brain revert to its former state, much like unused muscles slacken?",54
How to Go Vegan,"Vegan chefs, who agree that changing eating habits overnight can be challenging, offered advice for stocking a vegan pantry and finding replacements for dairy products.",55
Training Insights From Star Athletes,"Along with natural athletic prowess, elite sports stars often have an edge, gained from an insight or realization, that helps them separate themselves from the pack.",56
Vitamin D Doesn't Reduce Knee Pain,"A two-year study found that vitamin D, which evidence suggested might slow osteoarthritis, neither reduced knee pain nor restored cartilage.",57
The Appetite Workout,"Can exercise help regulate how much we eat? New science suggests that if you stick with the right kind of exercise, you may change how your body interacts with food.",58
Fitness Center in a Hotel Room,A businesswomanÕs need for a workout routine leads a personal trainer to incorporate a bathtubÕs edge and a travel iron into a 30-minute exercise regimen.,59
An Unexpected Road Hazard: Obesity,"Obese drivers are more likely than normal weight drivers to die in car accidents, a new study finds.",60
Berries Lower Heart Attack Risk in Women,"Blueberries and strawberries have large concentrations of the flavonoid anthocyanin, which may help lower blood pressure and improve blood vessel function.",61
Is There One Right Way to Run?,A new study of barefoot tribespeople in Kenya raises tantalizing questions about just how humans really are meant to move.,62
Ask Well: Squats for Aging Knees,The Phys Ed columnist Gretchen Reynolds responds to a reader who is concerned about her painful knees.,63
Eggs Regain Reputation,A new analysis adds to the evidence that eggs are not the dietary sin doctors once thought they were.,64
Really? Bright Light and Exercise Trigger Migraines,"A study published in the journal Neurology found that unlike exercise, bright light may not be a cause of migraines. But more research is needed.",65
"Myths of Weight Loss Are Plentiful, Researcher Says",A study tries to set the record straight on unproven assumptions that have been repeated so often that even scientists have tended to believe them.,66
Malnourished Gain Lifesaver in Antibiotics,"Cheap antibiotics given with nutritional treatment could save tens of thousands of lives a year, researchers found.",67
"Gluten-Free, Whether You Need It or Not","Avoiding gluten is a must for those with celiac disease, but many people are going gluten-free in a bid for a healthy diet.",68
Most Food Illnesses Come From Greens,"Leafy vegetables like lettuce - not dreaded spoiled shellfish - cause the most food-borne illness, with contaminated poultry being responsible for the most deaths.",69
Really? Timing of Meals Affects Weight Loss,"Studies suggest that eating at later hours, especially main meals, can affect efforts to lose weight.",70
Treating Constipation in the Old,Scientists found that some laxatives had significant effects but that there was little or no evidence that enemas or increased fluid intake had any benefit.,71
Fitness May Lower Dementia Risk,"Being physically fit in midlife is associated with a lower risk of dementia in old age, a new study reports.",72
Why Four Workouts a Week May Be Better Than Six,"A fairly leisurely approach to scheduling workouts may actually be more beneficial than working out almost daily, a new study suggests.",73
Dangers of Too Much Calcium,New research suggests that older women who take large calcium supplements may be at increased risk of heart disease and death.,74
Really? Probiotic Supplements Can Lower Cholesterol,"Probiotics may improve digestive health, but it is not yet clear whether they can reduce cholesterol levels.",75
Vitamin Labels May Be Wrong,"The amounts of vitamin D present in supplements sold over the counter often bear little resemblance to the descriptions on the bottle labels, a new study concludes.",76
Caffeine Linked to Lower Birth Weight Babies,"Drinking caffeinated beverages while pregnant may raise the risk of having a lower birth weight baby, a new study found.",77
No Vitamin D and Calcium for Older Bones,A government task force formally recommended on Monday that postmenopausal women avoid taking low daily doses of vitamin D and calcium to ward off bone fractures.,78
Simple Only on the Surface,"Despite centuries worth of efforts to penetrate the complicated thickets where health and beauty intertwine, there is always more to explore, as two new books make clear.",79
"Dismissing Her Critics, Mrs. Obama Forges Ahead",Michelle Obama said she kept her perspective on a life in the spotlight as she promoted a physical education initiative for children.,80